               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       metrics/1_mAP,      metrics/10_mAP,      metrics/11_mAP,      metrics/12_mAP,       metrics/2_mAP,       metrics/3_mAP,       metrics/4_mAP,       metrics/5_mAP,       metrics/6_mAP,       metrics/7_mAP,       metrics/8_mAP,       metrics/9_mAP,    metrics/1_mAP_50,   metrics/10_mAP_50,   metrics/11_mAP_50,   metrics/12_mAP_50,    metrics/2_mAP_50,    metrics/3_mAP_50,    metrics/4_mAP_50,    metrics/5_mAP_50,    metrics/6_mAP_50,    metrics/7_mAP_50,    metrics/8_mAP_50,    metrics/9_mAP_50
                  12,            0.038085,            0.081104,            0.018098,             0.91452,             0.64876,             0.70733,             0.46724,            0.037041,              0.1048,            0.015857,            0.008911,            0.008911,            0.008911,             0.50319,             0.38856,             0.53908,             0.40627,             0.48365,             0.42313,             0.44364,             0.51396,             0.42557,             0.49516,             0.53429,             0.45035,             0.79897,             0.68653,             0.76066,             0.62903,             0.68554,             0.63915,             0.71911,             0.72121,             0.64411,             0.76642,             0.75552,              0.6817
                  13,            0.037942,            0.081334,            0.018068,             0.93587,             0.64083,             0.70467,             0.47385,            0.036104,             0.10371,            0.015947,            0.008812,            0.008812,            0.008812,             0.51741,             0.40411,             0.54501,             0.41865,             0.48793,             0.43235,             0.45499,             0.51291,             0.42997,             0.49129,             0.53719,             0.45442,              0.7971,             0.68392,             0.75734,             0.62019,             0.68241,             0.64198,             0.71941,             0.71627,             0.64314,             0.76311,             0.75138,             0.67984
                  14,            0.037455,             0.08027,            0.017428,              0.9238,             0.64763,             0.70286,             0.46769,            0.036513,             0.10471,            0.015971,            0.008713,            0.008713,            0.008713,             0.50784,             0.38749,             0.54231,             0.40971,             0.48218,             0.42071,             0.44187,             0.51558,             0.42614,             0.49169,             0.54096,             0.44585,             0.80091,             0.67593,             0.75631,             0.61865,             0.68133,             0.62938,             0.71345,             0.71804,             0.64401,             0.76551,             0.75535,              0.6755
                  15,            0.037336,            0.079291,            0.017396,             0.93077,             0.64573,             0.70301,             0.47337,            0.036284,             0.10428,            0.015909,            0.008614,            0.008614,            0.008614,             0.51917,             0.39116,             0.54313,             0.41191,             0.49106,             0.43354,             0.44941,             0.52477,             0.43168,              0.4943,             0.53847,             0.45184,             0.80687,             0.66601,             0.75385,             0.62004,               0.685,             0.64313,             0.70953,             0.71872,             0.64837,             0.76216,             0.74962,             0.67277
                  16,            0.037059,             0.07932,            0.016958,              0.9251,              0.6516,             0.70881,             0.47795,            0.035839,             0.10367,            0.016059,            0.008515,            0.008515,            0.008515,             0.51795,             0.40384,             0.55284,             0.41596,             0.49379,             0.43928,             0.45513,             0.52861,             0.43281,             0.50416,             0.53592,             0.45514,             0.80758,             0.68506,             0.76716,             0.61601,             0.68912,             0.65161,             0.71748,              0.7201,             0.64043,             0.77191,             0.75429,             0.68495
                  17,            0.036388,            0.077852,            0.016414,             0.93047,             0.65296,              0.7036,             0.47695,            0.036044,             0.10464,            0.015661,            0.008416,            0.008416,            0.008416,             0.51789,             0.40864,             0.55294,             0.41854,             0.49191,             0.42976,             0.45424,             0.52441,             0.43227,             0.50151,             0.53929,             0.45201,             0.79911,             0.67829,              0.7565,              0.6144,             0.68479,              0.6407,             0.71688,             0.71836,             0.64067,              0.7673,             0.74978,             0.67648
                  18,            0.036467,            0.077387,            0.016322,             0.93026,             0.65285,             0.70624,             0.48108,            0.035757,             0.10414,            0.015738,            0.008317,            0.008317,            0.008317,             0.52063,             0.40792,             0.55664,             0.42011,             0.50497,             0.43762,             0.45144,             0.53597,             0.43641,             0.50386,             0.54184,             0.45557,             0.80414,             0.68947,             0.75775,             0.62314,             0.68806,             0.64292,             0.70777,             0.72397,              0.6423,             0.76465,             0.74834,             0.68236
                  19,            0.036186,            0.077113,            0.016235,             0.91941,             0.65295,             0.70689,             0.48349,             0.03553,             0.10612,            0.016421,            0.008218,            0.008218,            0.008218,             0.52356,             0.40412,             0.56223,             0.42362,             0.50387,             0.44005,             0.45634,             0.53539,             0.43807,             0.50918,             0.54442,             0.46108,             0.80703,             0.66809,             0.76638,             0.62196,             0.68625,             0.64514,              0.7148,             0.72702,             0.64235,             0.77299,             0.74835,             0.68225
                  20,            0.036353,            0.077683,            0.016085,             0.92723,              0.6532,             0.70477,              0.4794,            0.035788,             0.10488,            0.015694,            0.008119,            0.008119,            0.008119,             0.52406,             0.40297,             0.55596,             0.41707,             0.49556,               0.433,             0.44784,             0.52889,             0.43182,             0.50758,             0.54505,             0.46301,             0.80665,             0.67338,             0.76757,             0.61305,             0.67906,             0.64347,             0.70574,             0.71989,             0.63952,             0.76851,             0.75452,             0.68581
                  21,            0.036008,            0.077391,            0.016097,             0.93546,             0.65632,             0.70532,             0.48232,             0.03575,             0.10472,            0.015517,             0.00802,             0.00802,             0.00802,             0.52217,             0.39945,             0.56599,             0.41802,               0.508,             0.43702,             0.45005,              0.5343,              0.4297,             0.50873,             0.54915,             0.46525,             0.80497,              0.6695,               0.769,             0.61081,             0.69075,             0.63706,             0.70864,             0.72457,             0.63779,             0.76871,             0.75473,             0.68738
